id;type;source_name;proposed_canonical;reason;decision;override_canonical;notes;;;;;
Band_Assisted_Pull-Up;alias;Band Assisted Pull-Up;Pull-up;equipment_conflict;reject;;;;;;;
Band_Skull_Crusher;alias;Band Skull Crusher;Skull Crusher;equipment_conflict;reject;;;;;;;
Barbell_Glute_Bridge;alias;Barbell Glute Bridge;Glute Bridge;equipment_conflict,category_conflict;reject;;;;;;;
Barbell_Hack_Squat;alias;Barbell Hack Squat;Hack Squat;equipment_conflict;reject;;;;;;;
Barbell_Lunge;alias;Barbell Lunge;Lunge;equipment_conflict;reject;;;;;;;
Barbell_Seated_Calf_Raise;alias;Barbell Seated Calf Raise;Calf Raise;equipment_conflict;reject;;;;;;;
Barbell_Shoulder_Press;alias;Barbell Shoulder Press;Dumbbell OHP;equipment_conflict;reject;;;;;;;
Barbell_Step_Ups;alias;Barbell Step Ups;Step-up;equipment_conflict,category_conflict;reject;;;;;;;
Bench_Press_-_With_Bands;alias;Bench Press - With Bands;Bench Press;equipment_conflict;reject;;;;;;;
Bent-Arm_Barbell_Pullover;alias;Bent-Arm Barbell Pullover;Dumbbell Pullover;equipment_conflict,category_conflict;reject;;;;;;;
Bent-Arm_Dumbbell_Pullover;alias;Bent-Arm Dumbbell Pullover;Dumbbell Pullover;category_conflict;accept;;;;;;;
Bodyweight_Squat;alias;Bodyweight Squat;Squat;equipment_conflict;reject;;;;;;;
Cable_Internal_Rotation;alias;Cable Internal Rotation;Band Internal Rotation;equipment_conflict,category_conflict;reject;;;;;;;
Cable_Preacher_Curl;alias;Cable Preacher Curl;Preacher Curl;equipment_conflict;reject;;;;;;;
Cable_Rear_Delt_Fly;alias;Cable Rear Delt Fly;Rear Delt Fly;equipment_conflict;reject;;;;;;;
Cable_Seated_Lateral_Raise;alias;Cable Seated Lateral Raise;Lateral Raise;equipment_conflict;reject;;;;;;;
Cable_Shrugs;alias;Cable Shrugs;Shrug;equipment_conflict;reject;;;;;;;
Cable_Wrist_Curl;alias;Cable Wrist Curl;Wrist Flexion;equipment_conflict;reject;;;;;;;
Calf_Raise_On_A_Dumbbell;alias;Calf Raise On A Dumbbell;Calf Raise;equipment_conflict;reject;;;;;;;
Calf_Raises_-_With_Bands;alias;Calf Raises - With Bands;Calf Raise;equipment_conflict;reject;;;;;;;
Car_Deadlift;alias;Car Deadlift;Deadlift;equipment_conflict;reject;;;;;;;
Dip_Machine;alias;Dip Machine;Dip;equipment_conflict;reject;;;;;;;
Dumbbell_Alternate_Bicep_Curl;alias;Dumbbell Alternate Bicep Curl;Barbell Curl;equipment_conflict;reject;;;;;;;
Dumbbell_Bench_Press_with_Neutral_Grip;alias;Dumbbell Bench Press with Neutral Grip;Bench Press;equipment_conflict;reject;;;;;;;
Dumbbell_Bicep_Curl;alias;Dumbbell Bicep Curl;Barbell Curl;equipment_conflict;reject;;;;;;;
Dumbbell_One-Arm_Upright_Row;alias;Dumbbell One-Arm Upright Row;Upright Row;equipment_conflict;reject;;;;;;;
Dumbbell_Scaption;alias;Dumbbell Scaption;Full Can Raise;category_conflict;reject;;;;;;;
Dumbbell_Seated_Box_Jump;alias;Dumbbell Seated Box Jump;Box Jump;equipment_conflict;reject;;;;;;;
Dumbbell_Seated_One-Leg_Calf_Raise;alias;Dumbbell Seated One-Leg Calf Raise;Calf Raise;equipment_conflict;reject;;;;;;;
Dumbbell_Shrug;alias;Dumbbell Shrug;Shrug;equipment_conflict;reject;;;;;;;
Dumbbell_Squat;alias;Dumbbell Squat;Squat;equipment_conflict;reject;;;;;;;
Dumbbell_Step_Ups;alias;Dumbbell Step Ups;Step-up;equipment_conflict,category_conflict;reject;;;;;;;
External_Rotation_with_Band;alias;External Rotation with Band;Band External Rotation;category_conflict;accept;;;;;;;
External_Rotation_with_Cable;alias;External Rotation with Cable;Band External Rotation;equipment_conflict,category_conflict;reject;;;;;;;
Hyperextensions_Back_Extensions;alias;Hyperextensions (Back Extensions);Back Extension;equipment_conflict;reject;;;;;;;
