fx_id,source_name,canonical_name,stage,score,fx_equipment,target_equipment,equipment_conflict,fx_category,mapped_category,target_category,category_conflict,already_known_alias
Alternate_Hammer_Curl,Alternate Hammer Curl,Hammer Curl,variant,,dumbbell,dumbbell,,strength,isolation,isolation,,
Alternate_Incline_Dumbbell_Curl,Alternate Incline Dumbbell Curl,Incline Curl,variant,,dumbbell,dumbbell,,strength,isolation,isolation,,
Barbell_Deadlift,Barbell Deadlift,Deadlift,qualifier,,barbell,barbell,,strength,compound,compound,,
Barbell_Full_Squat,Barbell Full Squat,Squat,fuzzy,0.880,barbell,barbell,,strength,compound,compound,,
Barbell_Hip_Thrust,Barbell Hip Thrust,Hip Thrust,qualifier,,barbell,barbell,,powerlifting,compound,compound,,
Barbell_Shrug,Barbell Shrug,Shrug,qualifier,,barbell,barbell,,strength,isolation,isolation,,
Bent_Over_Barbell_Row,Bent Over Barbell Row,Barbell Row,qualifier,,barbell,barbell,,strength,compound,compound,,
Cable_Rope_Overhead_Triceps_Extension,Cable Rope Overhead Triceps Extension,Overhead Tricep Extension,fuzzy,0.830,cable,cable,,strength,isolation,isolation,,
Close-Grip_Barbell_Bench_Press,Close-Grip Barbell Bench Press,Close Grip Bench Press,qualifier,,barbell,barbell,,strength,compound,compound,,
Deadlift_with_Bands,Deadlift with Bands,Deadlift,variant,,barbell,barbell,,powerlifting,compound,compound,,
Dumbbell_Lunges,Dumbbell Lunges,Lunge,qualifier,,dumbbell,dumbbell,,strength,compound,compound,,
Dumbbell_One-Arm_Shoulder_Press,Dumbbell One-Arm Shoulder Press,Dumbbell OHP,fuzzy,0.826,dumbbell,dumbbell,,strength,compound,compound,,
Flexor_Incline_Dumbbell_Curls,Flexor Incline Dumbbell Curls,Incline Curl,fuzzy,0.829,dumbbell,dumbbell,,strength,isolation,isolation,,
Front_Barbell_Squat,Front Barbell Squat,Front Squat,qualifier,,barbell,barbell,,strength,compound,compound,,
Leg_Extensions,Leg Extensions,Leg Extension,fuzzy,1.000,machine,machine,,strength,isolation,isolation,,
Low_Cable_Crossover,Low Cable Crossover,Cable Fly,fuzzy,0.897,cable,cable,,strength,isolation,isolation,,
Lying_Leg_Curls,Lying Leg Curls,Leg Curl,fuzzy,0.957,machine,machine,,strength,isolation,isolation,,
Lying_One-Arm_Lateral_Raise,Lying One-Arm Lateral Raise,Lateral Raise,variant,,dumbbell,dumbbell,,strength,isolation,isolation,,
Olympic_Squat,Olympic Squat,Squat,qualifier,,barbell,barbell,,olympic weightlifting,compound,compound,,
One-Arm_Dumbbell_Row,One-Arm Dumbbell Row,Dumbbell Row,qualifier,,dumbbell,dumbbell,,strength,compound,compound,,
One_Arm_Dumbbell_Bench_Press,One Arm Dumbbell Bench Press,Dumbbell Bench Press,fuzzy,0.842,dumbbell,dumbbell,,strength,compound,compound,,
One_Arm_Lat_Pulldown,One Arm Lat Pulldown,Lat Pulldown,variant,,cable,cable,,strength,compound,compound,,
One_Leg_Barbell_Squat,One Leg Barbell Squat,Squat,variant,,barbell,barbell,,strength,compound,compound,,
Pullups,Pullups,Pull-up,fuzzy,0.909,body only,bodyweight,,strength,compound,compound,,
Push-Up_Wide,Push-Up Wide,Push-up,variant,,body only,bodyweight,,strength,compound,compound,,
Pushups,Pushups,Push-up,fuzzy,0.909,body only,bodyweight,,strength,compound,compound,,
Reverse_Flyes,Reverse Flyes,Rear Delt Fly,fuzzy,0.900,dumbbell,dumbbell,,strength,isolation,isolation,,
Seated_Barbell_Military_Press,Seated Barbell Military Press,OHP,variant,,barbell,barbell,,strength,compound,compound,,
Seated_Cable_Rows,Seated Cable Rows,Cable Row,fuzzy,0.963,cable,cable,,strength,compound,compound,,
Seated_Calf_Stretch,Seated Calf Stretch,Calf Stretch,variant,,,bodyweight,,stretching,mobility,mobility,,
Side_Lateral_Raise,Side Lateral Raise,Lateral Raise,fuzzy,0.833,dumbbell,dumbbell,,strength,isolation,isolation,,
Side_Standing_Long_Jump,Side Standing Long Jump,Broad Jump,fuzzy,0.875,,bodyweight,,plyometrics,plyometric,plyometric,,
Single-Arm_Push-Up,Single-Arm Push-Up,Push-up,variant,,body only,bodyweight,,strength,compound,compound,,
Single-Leg_Leg_Extension,Single-Leg Leg Extension,Leg Extension,fuzzy,0.846,machine,machine,,strength,isolation,isolation,,
Smith_Machine_Calf_Raise,Smith Machine Calf Raise,Calf Raise,qualifier,,machine,machine,,strength,isolation,isolation,,
Smith_Machine_Leg_Press,Smith Machine Leg Press,Leg Press,qualifier,,machine,machine,,strength,compound,compound,,
Squat_with_Bands,Squat with Bands,Squat,variant,,barbell,barbell,,powerlifting,compound,compound,,
Standing_Calf_Raises,Standing Calf Raises,Calf Raise,fuzzy,0.970,machine,machine,,strength,isolation,isolation,,
Standing_Military_Press,Standing Military Press,OHP,variant,,barbell,barbell,,strength,compound,compound,,
Sumo_Deadlift_with_Bands,Sumo Deadlift with Bands,Sumo Deadlift,variant,,barbell,barbell,,powerlifting,compound,compound,,
Triceps_Pushdown,Triceps Pushdown,Tricep Pushdown,fuzzy,0.889,cable,cable,,strength,isolation,isolation,,
Upright_Barbell_Row,Upright Barbell Row,Upright Row,qualifier,,barbell,barbell,,strength,compound,compound,,
Wide-Grip_Barbell_Bench_Press,Wide-Grip Barbell Bench Press,Bench Press,variant,,barbell,barbell,,strength,compound,compound,,
Wide-Grip_Lat_Pulldown,Wide-Grip Lat Pulldown,Lat Pulldown,variant,,cable,cable,,strength,compound,compound,,
