fx_id,source_name,canonical_name,stage,score,fx_equipment,target_equipment,equipment_conflict,fx_category,mapped_category,target_category,category_conflict,already_known_alias,reason
Band_Assisted_Pull-Up,Band Assisted Pull-Up,Pull-up,variant,,other,bodyweight,yes,strength,compound,compound,,,equipment_conflict
Band_Skull_Crusher,Band Skull Crusher,Skull Crusher,qualifier,,bands,barbell,yes,strength,isolation,isolation,,,equipment_conflict
Barbell_Glute_Bridge,Barbell Glute Bridge,Glute Bridge,qualifier,,barbell,bodyweight,yes,powerlifting,compound,rehab,yes,,"equipment_conflict,category_conflict"
Barbell_Hack_Squat,Barbell Hack Squat,Hack Squat,qualifier,,barbell,machine,yes,strength,compound,compound,,,equipment_conflict
Barbell_Lunge,Barbell Lunge,Lunge,qualifier,,barbell,dumbbell,yes,strength,compound,compound,,,equipment_conflict
Barbell_Seated_Calf_Raise,Barbell Seated Calf Raise,Calf Raise,qualifier,,barbell,machine,yes,strength,isolation,isolation,,,equipment_conflict
Barbell_Shoulder_Press,Barbell Shoulder Press,Dumbbell OHP,fuzzy,0.821,barbell,dumbbell,yes,strength,compound,compound,,,equipment_conflict
Barbell_Step_Ups,Barbell Step Ups,Step-up,qualifier,,barbell,bodyweight,yes,strength,compound,rehab,yes,,"equipment_conflict,category_conflict"
Bench_Press_-_With_Bands,Bench Press - With Bands,Bench Press,variant,,bands,barbell,yes,strength,compound,compound,,,equipment_conflict
Bent-Arm_Barbell_Pullover,Bent-Arm Barbell Pullover,Dumbbell Pullover,variant,,barbell,dumbbell,yes,strength,compound,isolation,yes,,"equipment_conflict,category_conflict"
Bent-Arm_Dumbbell_Pullover,Bent-Arm Dumbbell Pullover,Dumbbell Pullover,fuzzy,0.824,dumbbell,dumbbell,,strength,compound,isolation,yes,,category_conflict
Bodyweight_Squat,Bodyweight Squat,Squat,qualifier,,body only,barbell,yes,strength,compound,compound,,,equipment_conflict
Cable_Internal_Rotation,Cable Internal Rotation,Band Internal Rotation,qualifier,,cable,band,yes,strength,compound,rehab,yes,,"equipment_conflict,category_conflict"
Cable_Preacher_Curl,Cable Preacher Curl,Preacher Curl,qualifier,,cable,barbell,yes,strength,isolation,isolation,,,equipment_conflict
Cable_Rear_Delt_Fly,Cable Rear Delt Fly,Rear Delt Fly,qualifier,,cable,dumbbell,yes,strength,isolation,isolation,,,equipment_conflict
Cable_Seated_Lateral_Raise,Cable Seated Lateral Raise,Lateral Raise,variant,,cable,dumbbell,yes,strength,isolation,isolation,,,equipment_conflict
Cable_Shrugs,Cable Shrugs,Shrug,qualifier,,cable,barbell,yes,strength,isolation,isolation,,,equipment_conflict
Cable_Wrist_Curl,Cable Wrist Curl,Wrist Flexion,qualifier,,cable,dumbbell,yes,strength,isolation,isolation,,,equipment_conflict
Calf_Raise_On_A_Dumbbell,Calf Raise On A Dumbbell,Calf Raise,variant,,dumbbell,machine,yes,strength,isolation,isolation,,,equipment_conflict
Calf_Raises_-_With_Bands,Calf Raises - With Bands,Calf Raise,variant,,bands,machine,yes,strength,isolation,isolation,,,equipment_conflict
Car_Deadlift,Car Deadlift,Deadlift,fuzzy,0.824,other,barbell,yes,strongman,compound,compound,,,equipment_conflict
Dip_Machine,Dip Machine,Dip,qualifier,,machine,bodyweight,yes,strength,compound,compound,,,equipment_conflict
Dumbbell_Alternate_Bicep_Curl,Dumbbell Alternate Bicep Curl,Barbell Curl,variant,,dumbbell,barbell,yes,strength,isolation,isolation,,,equipment_conflict
Dumbbell_Bench_Press_with_Neutral_Grip,Dumbbell Bench Press with Neutral Grip,Bench Press,variant,,dumbbell,barbell,yes,strength,compound,compound,,,equipment_conflict
Dumbbell_Bicep_Curl,Dumbbell Bicep Curl,Barbell Curl,qualifier,,dumbbell,barbell,yes,strength,isolation,isolation,,,equipment_conflict
Dumbbell_One-Arm_Upright_Row,Dumbbell One-Arm Upright Row,Upright Row,variant,,dumbbell,barbell,yes,strength,compound,compound,,,equipment_conflict
Dumbbell_Scaption,Dumbbell Scaption,Full Can Raise,qualifier,,dumbbell,dumbbell,,strength,isolation,rehab,yes,,category_conflict
Dumbbell_Seated_Box_Jump,Dumbbell Seated Box Jump,Box Jump,variant,,dumbbell,box,yes,plyometrics,plyometric,plyometric,,,equipment_conflict
