movement_core,variant_count,example_names,fx_categories,curated_missing_match,example_primary_muscles,example_equipment,example_mechanic,example_level,mapped_category
press,12,Alternating Floor Press; Alternating Kettlebell Press; Bent Press; Close-Grip Dumbbell Press; Dumbbell Floor Press; Floor Press; Kettlebell Seated Press; Leg-Over Floor Press; One Arm Floor Press; One-Arm Kettlebell Floor Press; Seated Dumbbell Press; Standing Alternating Dumbbell Press,"powerlifting,strength",,chest,kettlebells,compound,beginner,compound
triceps extension,10,Cable Lying Triceps Extension; Dumbbell One-Arm Triceps Extension; Low Cable Triceps Extension; Machine Triceps Extension; Seated Bent-Over One-Arm Dumbbell Triceps Extension; Seated Bent-Over Two-Arm Dumbbell Triceps Extension; Standing Bent-Over One-Arm Dumbbell Triceps Extension; Standing Bent-Ov,strength,,triceps,cable,isolation,beginner,isolation
curl,5,Close-Grip Standing Barbell Curl; Lying Cable Curl; Seated Dumbbell Curl; Standing One-Arm Cable Curl; Wide-Grip Standing Barbell Curl,strength,,biceps,barbell,isolation,beginner,isolation
shoulder press,4,Alternating Cable Shoulder Press; Cable Shoulder Press; Seated Cable Shoulder Press; Shoulder Press - With Bands,strength,,shoulders,cable,compound,beginner,compound
row,4,Alternating Kettlebell Row; Bent Over Two-Dumbbell Row; Sled Row; Two-Arm Kettlebell Row,strength,,middle back,kettlebells,isolation,intermediate,isolation
clean,4,Clean; Dumbbell Clean; One-Arm Kettlebell Clean; Two-Arm Kettlebell Clean,"olympic weightlifting,strength",,hamstrings,barbell,compound,intermediate,compound
front raise,4,Front Cable Raise; Front Dumbbell Raise; Front Plate Raise; Front Two-Dumbbell Raise,strength,,shoulders,cable,isolation,beginner,isolation
hang clean,3,Alternating Hang Clean; Hang Clean; Kettlebell Hang Clean,"olympic weightlifting,strength",Hang Clean,hamstrings,kettlebells,compound,intermediate,compound
incline shoulder raise,3,Barbell Incline Shoulder Raise; Dumbbell Incline Shoulder Raise; Smith Incline Shoulder Raise,strength,,shoulders,barbell,compound,beginner,compound
long bar row,3,Bent Over One-Arm Long Bar Row; Bent Over Two-Arm Long Bar Row; One-Arm Long Bar Row,strength,,middle back,barbell,compound,beginner,compound
box squat,3,Box Squat; Box Squat with Bands; Single-Leg High Box Squat,"powerlifting,strength",,quadriceps,barbell,compound,intermediate,compound
crunch,3,Cable Seated Crunch; Rope Crunch; Standing Rope Crunch,strength,,abdominals,cable,isolation,beginner,isolation
bar curl,3,Close-Grip EZ Bar Curl; Close-Grip EZ-Bar Curl with Band; EZ-Bar Curl,strength,,biceps,e-z curl bar,isolation,beginner,isolation
decline bench press,3,Decline Barbell Bench Press; Decline Dumbbell Bench Press; Wide-Grip Decline Barbell Bench Press,strength,,chest,barbell,compound,beginner,compound
incline push up,3,Incline Push-Up; Incline Push-Up Close-Grip; Incline Push-Up Wide,strength,,chest,body only,compound,beginner,compound
palms down wrist curl,3,Seated Dumbbell Palms-Down Wrist Curl; Seated One-Arm Dumbbell Palms-Down Wrist Curl; Seated Palms-Down Barbell Wrist Curl,strength,,forearms,dumbbell,isolation,beginner,isolation
stiff legged deadlift,3,Smith Machine Stiff-Legged Deadlift; Stiff-Legged Barbell Deadlift; Stiff-Legged Dumbbell Deadlift,strength,,hamstrings,machine,compound,beginner,compound
arnold press,2,Arnold Dumbbell Press; Kettlebell Arnold Press,strength,Arnold Press,shoulders,dumbbell,compound,intermediate,compound
good morning,2,Band Good Morning; Good Morning,powerlifting,Good Morning,hamstrings,bands,compound,beginner,compound
side bend,2,Barbell Side Bend; Dumbbell Side Bend,strength,,abdominals,barbell,isolation,beginner,isolation
squat bench,2,Barbell Squat To A Bench; Dumbbell Squat To A Bench,strength,,quadriceps,barbell,compound,expert,compound
walking lunge,2,Barbell Walking Lunge; Bodyweight Walking Lunge,strength,Walking Lunge,quadriceps,barbell,compound,beginner,compound
flyes,2,Bodyweight Flyes; Dumbbell Flyes,strength,,chest,e-z curl bar,isolation,intermediate,isolation
chest press,2,Cable Chest Press; Standing Cable Chest Press,strength,,chest,cable,compound,beginner,compound
incline triceps extension,2,Cable Incline Triceps Extension; Incline Barbell Triceps Extension,strength,,triceps,cable,isolation,beginner,isolation
iron cross,2,Cable Iron Cross; Iron Cross,strength,,chest,cable,isolation,beginner,isolation
